time,hy_grad,avg_flux,Sensor(-0.55m),Sensor(-0.45m),Sensor(-0.35m),Sensor(-0.25m),Sensor(-0.15m),Sensor(-0.05m)
4/8/2017 14:59,0.030901361,-0.0284466,-0.03080079,-0.03057181,-0.03022679,-0.02971231,-0.02846477,-0.01839963
4/8/2017 15:59,0.031581633,-0.029078571,-0.03148449,-0.03124975,-0.03089657,-0.03037093,-0.02909898,-0.01881159
4/8/2017 16:59,0.028537415,-0.026345814,-0.02852601,-0.02831287,-0.02799262,-0.02751648,-0.02636403,-0.0170434
4/8/2017 17:59,0.028129252,-0.025982993,-0.02813315,-0.0279228,-0.027607,-0.02713765,-0.02600101,-0.01680862
4/8/2017 18:59,0.013469388,-0.012770846,-0.0138286,-0.01372462,-0.01356885,-0.01333762,-0.01277867,-0.008260735
4/8/2017 19:59,0.019081633,-0.017842649,-0.01931876,-0.01917416,-0.01895733,-0.01863528,-0.01785583,-0.01154369
4/8/2017 20:59,0.014234694,-0.013469366,-0.01458318,-0.01447406,-0.0143105,-0.01406766,-0.01348014,-0.00871532
4/8/2017 21:59,0.009540816,-0.009240878,-0.01000476,-0.009929893,-0.009817727,-0.009651273,-0.009248743,-0.005979902
4/8/2017 22:59,0.005527211,-0.005614514,-0.006078602,-0.006033062,-0.00596487,-0.005863745,-0.005619388,-0.003633433
4/8/2017 23:59,0.003639456,-0.003910974,-0.004233798,-0.004202281,-0.004154996,-0.004084812,-0.003914941,-0.002531572
4/9/2017 0:59,-0.009047619,0.00752551,0.008146368,0.008086226,0.007995875,0.00786123,0.00753307,0.004870097
4/9/2017 1:59,-0.006479592,0.005211989,0.005642454,0.005600555,0.005537744,0.005444236,0.005216661,0.003372318
4/9/2017 2:59,-0.009013605,0.007484629,0.008103149,0.008042837,0.007952463,0.007817959,0.007490855,0.004842364
4/9/2017 3:59,-0.019608844,0.017035511,0.01844226,0.01830567,0.01810056,0.01779495,0.01705078,0.01102265
4/9/2017 4:59,-0.013520408,0.011552367,0.01250721,0.01241414,0.01227461,0.01206688,0.01156166,0.007473772
4/9/2017 5:59,-0.015493197,0.01332459,0.01442613,0.01431873,0.0141577,0.01391795,0.01333498,0.008619981
4/9/2017 6:59,-0.015663265,0.013479899,0.0145944,0.01448573,0.01432279,0.01408017,0.01349021,0.00872023
4/9/2017 7:59,-0.011207483,0.009459444,0.01024225,0.01016564,0.01005094,0.00988027,0.009465813,0.006118517
4/9/2017 8:59,-0.018316327,0.015861803,0.01717265,0.0170452,0.01685383,0.01656859,0.01587452,0.01026166
4/9/2017 9:59,0.001462585,-0.001947086,-0.00210584,-0.002091158,-0.002068669,-0.002034921,-0.001951435,-0.001262462
4/9/2017 10:59,0.015289116,-0.014365269,-0.01554788,-0.01543398,-0.0152626,-0.01500734,-0.01438326,-0.009299726
4/9/2017 11:59,0.034098639,-0.031255096,-0.03383304,-0.03358398,-0.03320941,-0.03265075,-0.03128676,-0.02022593
4/9/2017 12:59,0.037057823,-0.033923901,-0.03672632,-0.03645485,-0.03604644,-0.03543693,-0.03395195,-0.02194701
4/9/2017 13:59,0.048401361,-0.044136716,-0.04778698,-0.04743207,-0.04689812,-0.04610198,-0.0441681,-0.02855072
4/9/2017 14:59,0.058571429,-0.05331419,-0.05772637,-0.05729564,-0.05664834,-0.05568481,-0.05334943,-0.03448657
4/9/2017 15:59,0.036530612,-0.033510996,-0.03628669,-0.03601444,-0.03560609,-0.03499919,-0.03353055,-0.02167479
4/9/2017 16:59,0.032380952,-0.029793239,-0.03226153,-0.03201903,-0.03165562,-0.03111585,-0.02981011,-0.01926985
